Timestamp,Frequency
26.04.2021 18:59:20,50.007
26.04.2021 18:59:30,50.017
26.04.2021 18:59:50,50.025
26.04.2021 19:00:00,50.02
26.04.2021 19:00:10,50.018
26.04.2021 19:00:20,50.022
26.04.2021 19:00:30,50.016
26.04.2021 19:00:40,50.029
26.04.2021 19:00:40,50.029
26.04.2021 19:01:00,50.038
26.04.2021 19:01:00,50.038
26.04.2021 19:01:20,50.021
26.04.2021 19:01:20,50.021
26.04.2021 19:01:30,50.026
26.04.2021 19:01:40,50.043
26.04.2021 19:01:50,50.036
26.04.2021 19:02:00,50.052
26.04.2021 19:02:20,50.059
26.04.2021 19:02:20,50.059
